model	prompt_hash	spirit_id	target_name	rank	target_distance	prompt
ld128tf1024	002535df	41	Focalor	2	15814	Focalor grounded by scot: he fttealeth wonderfully ie out of the Kings honfe, and carryeth it whether he is affigned; he deftroyeth: Cities, and hath great defpite unto dignities ; he knoweth things prefent, pafts and to come, and reconcileth friends and foes; he was ofthe order of Thrones; and governeth Thirty Legions. : SA ee asd ee mis eae 1 Halphasis a great Earl, and cometh abroad like a Stork; with a hoarfe VOyCes Halphas, he notably buildech up Towns full of amunition and weapons, he fendeth menof war to places appointed, and hath under him Twenty fixLegion. yee: Focalor, is a great Duke, cometh forth as a man, with wings like a Griffin, he Focalor. killeth men; and drowneththemin the waters, and overcurneth fhips of war, commanding and ruling both Winds and Seas. And let the Conjuror nore, that if he bid him hurt no man, he willingly confentech thereto : he hopeth. after 1000 years to returnto the feventh Throne, but he is deceived ; he hath Three. Legions.. ay roe 3 Vine, is great King and anEarl, he fheweth himfelfas a Lyon, riding a black Vine: Horfe, and carryeth a Viper in his hand ; he gladly buildeth l
ld128tf1024	001ba7c1	27	Ronové	29	16338	Ronové Marquis berith foes great legions maketh tongues anfwereth earl friends good
ld128tf1024	008ca1d3	48	Haagenti	58	13631	Haagenti: He is a President, appearing in the Form of a Mighty Bull with Gryphon’s Wings.
ld128tf1024	0020f85d	32	Asmoday	11	17325	Asmoday seal prompt: He appeareth with Three Heads, whereof the first is like a Bull, the second like a Man, and the third like a Ram Keywords: legions momies second thou aamon abroad absolutely action.
ld128tf1024	00a63ecf	50	Furcas	72	17517	Furcas grounded by dictionnaire: lors- qu'un seigneur de Coucy devait mourir. Fontenelle. Son Histoire des oracles est loin d'être exacte. File a été réfutée par le P. Baltus. Ses Entretiens sur la pluralité des mondes sont un jeu d'esprit. Fontenettes (Charles), auteur d'une Disser- tation sur une fille de Grenoble qui depuis quatre ans ne boit ni mange , 1737, in-4°, prodige qu'on attribuait au diable , et dont Fontenettes explique les causes moins ténébreuses. Foray ou Morax. Voij. Morax. Forças, Forras ou Furcas, chevalier, grand président des enfers; il apparaît sous la forme d'un homme vigoureux, avec une longue barbe et des cheveux blancs; il est monté sur un grand cheval et tient un dard aigu. li connaît les vertus des harbes et des pierres précieuses; il enseigne la logique, l'esthétique, la chiromancie, la pyro- mancie et la rhétorique. Il rend l'homme invi- sible, ingénieux et beau parleur. 11 fait retrouver les choses perdues ; il découvre les trésors, et il a sous ses ord
ld128tf1024	00294df5	44	Shax	42	15787	Shax Great Marquis away things commanded exorcist ftanding hearing kings legions maketh money
ld128tf1024	01036945	21	Marax	16	15176	Marax grounded by goetia: (21.) Marax. —The Twenty-first Spirit is Marax. [15] He is a Great Earl and President. He appeareth like a great Bull with a Man’s face. His office is to make Men very knowing in Astronomy, and all other Liberal Sciences; also he can give good Familiars, and wise, knowing the virtues of Herbs and Stones which be precious. He governeth 30 Legions of Spirits, and his Seal is this, which must be made and worn as aforesaid, etc. Keywords: also appeareth astronomy bull earl face familiars first.
ld128tf1024	01462dc9	30	Forneus	16	18264	Forneus seal prompt: He causeth men to have a Good Name, and to have the knowledge and understanding of Tongues.
ld128tf1024	0187f0e3	28	Berith	15	21569	Berith: He appeareth in the Form of a Soldier with Red Clothing, riding upon a Red Horse, and having a Crown of Gold upon his head.
ld128tf1024	0197bc35	71	Dantalion	55	18285	Dantalion seal prompt: He is a Duke Great and Mighty, appearing in the Form of a Man with many Countenances, all Men’s and Women’s Faces Keywords: show will women appearing arts book cause change.
ld128tf1024	01d1a23b	16	Zepar	4	16004	Zepar grounded by dictionnaire: e temps ces- ser la tempête *. » Ajoutons que de nos jours les marins du Le- vant conservent cette opinion que les momies attirent les tempêtes, et on ne peut les embar- quer qu'à leur insu. Monarchie. infernale. Elle se compose, selon Wierus , d'un empereur, qui est Belzébuth ; de sept rois , qui régnent aux quatre points cardi- naux, et qui sont Baël, Pursan, Byleth, Paymon, Belial, Asmoday, Zapan; de vingt-trois ducs, savoir : Agarès, Busas, Gusoyn, Bathym, Eligor, Valefar, Zepar, Sytry, Bime , Berith, Astaroth, Vepar, Ghax, Pricel, Murmur, Focalor, Gomory, Amduscias , Aym , Orobas , Vapula , Hauros , Alocer ; de treize marquis , Aamon , Loray, Na- berus , Forneus , Ronève, Marchocias, Sabnac, Gamigyn, Arias, Andras, Androalphus, Cime- ries, Phœnix; de dix comtes, Barbatos, Botis, Morax , Ipès , Furfur, Raym , Halphas , Vine , Decarabia, Zalcos; de onze présidents, Marbas, Buer, Glasialabolas , Forças, Malphas , Gaap , Caym , Volac , Oze , Amy, Haagenti , et d
ld128tf1024	031b5a9f	13	Beleth	9	15980	Beleth seal prompt: This Great King Beleth causeth all the love that may be, both of Men and of Women, until the Master Exorcist hath had his desire fulfilled.
ld128tf1024	0205b855	61	Zagan	59	16786	Zagan: but whenhe taketh humane fhape, he maketh men witty ,he eurn- ~ eth all metals into the coin of that dominion, and turneth water into wine, and | wine into water
ld128tf1024	04230ea1	55	Orobas	27	14513	Orobas seal prompt: His Office is to discover all things Past, Present, and to Come
