prompt_hash	spirit_id	source	tier	text
57fced93	1	canonical	tier-paraphrase	Bael. (1.) Bael. —The First Principal Spirit is a King ruling in the East, called Bael. He maketh thee to go Invisible. He ruleth over 66 Legions of Infernal Spirits. He appeareth in divers shapes, sometimes like a Cat, sometimes like a Toad, and sometimes like a Man, and sometimes all these forms at once. He speaketh hoarsely. This is his character which is used to be worn as a Lamen before him who calleth him forth, or else he will not do thee homage.
ad5c78d9	1	canonical	tier-paraphrase	Bael Bael. He maketh thee to go Invisible.
11f0ad8b	2	canonical	tier-paraphrase	Agares. (2.) Agares. —The Second Spirit is a Duke called Agreas, or Agares. He is under the Power of the East, and cometh up in the form of an old fair Man, riding upon a Crocodile, carrying a Goshawk upon his fist, and yet mild in appearance. He maketh them to run that stand still, and bringeth back runaways. He teaches all Languages or Tongues presently. He hath power also to destroy Dignities both Spiritual and Temporal, and causeth Earthquakes. He was of the Order of Virtues. He hath under his government 31 Legions of Spirits. And this is his Seal or Character which thou shalt wear as a Lamen before thee.
518d7be3	2	canonical	tier-paraphrase	Agares Agares. He teaches all Languages or Tongues presently.
bd6b4489	3	canonical	tier-paraphrase	Vassago. (3.) Vassago. —The Third Spirit is a Mighty Prince, being of the same nature as Agares. He is called Vassago. This Spirit is of a Good Nature, and his office is to declare things Past and to Come, and to discover all things Hid or Lost. And he governeth 26 Legions of Spirits, and this is his Seal.
25ae56bb	3	canonical	tier-paraphrase	Vassago Vassago. This Spirit is of a Good Nature, and his office is to declare things Past and to Come, and to discover all things Hid or Lost.
4f2570b5	4	canonical	tier-paraphrase	Samigina. (4.) Samigina , or Gamigin .—The Fourth Spirit is Samigina, a Great Marquis. He appeareth in the form of a little Horse or Ass, and then into Human shape doth he change himself at the request of the Master. He speaketh with a hoarse voice. He ruleth over 30 Legions of Inferiors. He teaches all Liberal Sciences, and giveth account of Dead Souls that died in sin. And his Seal is this, which is to be worn before the Magician when he is Invocator, etc.
b4aa49e9	4	canonical	tier-paraphrase	Samigina Samigina Gamigin. He teaches all Liberal Sciences, and giveth account of Dead Souls that died in sin.
5536a7d3	5	canonical	tier-paraphrase	Marbas. (5.) Marbas. —The fifth Spirit is Marbas. He is a Great President, and appeareth at first in the form of a Great Lion, but afterwards, at the request of the Master, he putteth on Human Shape. He answereth truly of things Hidden or Secret. He causeth Diseases and cureth them. Again, he giveth great Wisdom and Knowledge in Mechanical Arts; and can change men into other shapes. He governeth 36 Legions of Spirits. And his Seal is this, which is to be worn as aforesaid.
e1a990e1	5	canonical	tier-paraphrase	Marbas Marbas. Again, he giveth great Wisdom and Knowledge in Mechanical Arts
185666ed	6	canonical	tier-paraphrase	Valefor. (6.) Valefor. —The Sixth Spirit is Valefor. He is a mighty Duke, and appeareth in the shape of a Lion with an Ass’s Head, bellowing. He is a good Familiar, but tempteth them he is a familiar of to steal. He governeth 10 Legions of Spirits. His Seal is this, which is to be worn, whether thou wilt have him for a Familiar, or not.
8c0db3f9	6	canonical	tier-paraphrase	Valefor Valefor. Valefor has an office described in the Goetia
e23204a9	7	canonical	tier-paraphrase	Amon. (7.) Amon. —The Seventh Spirit is Amon. He is a Marquis great in power, and most stern. He appeareth like a Wolf with a Serpent’s tail, vomiting out of his mouth flames of fire; but at the command of the Magician he putteth on the shape of a Man with Dog’s teeth beset in a head like a Raven; or else like a Man with a Raven’s head (simply). He telleth all things Past and to Come. He procureth feuds and reconcileth controversies between friends. He governeth 40 Legions of Spirits. His Seal is this which is to be worn as aforesaid, etc.
105710af	7	canonical	tier-paraphrase	Amon Amon. Amon has an office described in the Goetia
feda6e01	8	canonical	tier-paraphrase	Barbatos. (8.) Barbatos. —The Eighth Spirit is Barbatos. He is a Great Duke, and appeareth when the Sun is in Sagittary, with four noble Kings and their companies of great troops. He giveth understanding of the singing of Birds, and of the Voices of other creatures, such as the barking of Dogs. He breaketh the Hidden Treasures open that have been laid by the Enchantments of Magicians. He is of the Order of Virtues, of which some part he retaineth still; and he knoweth all things Past, and to come, and conciliateth Friends and those that be in Power. He ruleth over 30 Legions of Spirits. His Seal of Obedience is this, the which wear before thee as aforesaid.
23ef5e6d	8	canonical	tier-paraphrase	Barbatos Barbatos. He giveth understanding of the singing of Birds, and of the Voices of other creatures, such as the barking of Dogs.
c5020ec3	9	canonical	tier-paraphrase	Paimon. (9) Paimon. —The Ninth Spirit in this Order is Paimon, a Great King, and very obedient unto Lucifer . He appeareth in the form of a Man sitting upon a Dromedary with a Crown most glorious upon his head. There goeth before him also an Host of Spirits, like Men with Trumpets and well sounding Cymbals, and all other sorts of Musical Instruments. He hath a great Voice, and roareth at his first coming, and his speech is such that the Magician cannot well understand unless he can compel him. This Spirit can teach all Arts and Sciences, and other secret things. He can discover unto thee what the Earth is, and what holdeth it up in the Waters; and what Mind is, and where it is; or any other thing thou mayest desire to know. He giveth Dignity, and confirmeth the same. He bindeth or maketh any man subject unto the Magician if he so desire it. He giveth good Familiars, and such as can teach all Arts. He is to be observed towards the West. He is of the Order of Dominations. [13] He hath under him 200 Legions of Spirits, and part of them are of the Order of Angels, and the other part of Potentates. Now if thou callest this Spirit Paimon alone, thou must make him some offering; and there will attend him two Kings called Labal and Abalim , and also other Spirits who be of the Order of Potentates in his Host, and 25 Legions. And those Spirits which be subject unto them are not always with them unless the Magician do compel them. His Character is this which must be worn as a Lamen before thee, etc.
217b2b41	9	canonical	tier-paraphrase	Paimon Paimon. He giveth Dignity, and confirmeth the same.
4eec6819	10	canonical	tier-paraphrase	Buer. (10.) Buer. —The Tenth Spirit is Buer, a Great President. He appeareth in Sagittary, and that is his shape when the Sun is there. He teaches Philosophy, both Moral and Natural, and the Logic Art, and also the Virtues of all Herbs and Plants. He healeth all distempers in man, and giveth good Familiars. He governeth 50 Legions of Spirits, and his Character of obedience is this, which thou must wear when thou callest him forth unto appearance.
a6d69395	10	canonical	tier-paraphrase	Buer Buer. He healeth all distempers in man, and giveth good Familiars.
692f507b	11	canonical	tier-paraphrase	Gusion. (11.) Gusion. —The Eleventh Spirit in order is a great and strong Duke, called Gusion. He appeareth like a Xenopilus. He telleth all things, Past, Present, and to Come, and showeth the meaning and resolution of all questions thou mayest ask. He conciliateth and reconcileth friendships, and giveth Honour and Dignity unto any. He ruleth over 40 Legions of Spirits. His Seal is this, the which wear thou as aforesaid.
6e75ad63	11	canonical	tier-paraphrase	Gusion Gusion. He conciliateth and reconcileth friendships, and giveth Honour and Dignity unto any.
11a60cf7	12	canonical	tier-paraphrase	Sitri. (12.) Sitri. —The Twelfth Spirit is Sitri. He is a Great Prince and appeareth at first with a Leopard’s head and the Wings of a Gryphon, but after the command of the Master of the Exorcism he putteth on Human shape, and that very beautiful. He enflameth men with Women’s love, and Women with Men’s love; and causeth them also to show themselves naked if it be desired. He governeth 60 Legions of Spirits. His Seal is this, to be worn as a Lamen before thee, etc.
8837f209	12	canonical	tier-paraphrase	Sitri Sitri. and causeth them also to show themselves naked if it be desired.
4591d5a9	13	canonical	tier-paraphrase	Beleth. (13.) Beleth. —The Thirteenth Spirit is called Beleth (or Bileth, or Bilet). He is a mighty King and terrible. He rideth on a pale horse with trumpets and other kinds of musical instruments playing before him. He is very furious at his first appearance, that is, while the Exorcist layeth his courage; for to do this he must hold a Hazel Wand in his hand, striking it out towards the South and East Quarters, make a triangle, △, without the Circle, and then command him into it by the Bonds and Charges of Spirits as hereafter followeth. And if he doth not enter into the triangle, △, at your threats, rehearse the Bonds and Charms before him, and then he will yield Obedience and come into it, and do what he is commanded by the Exorcist. Yet he must receive him courteously because he is a Great King, and do homage unto him, as the Kings and Princes do that attend upon him. And thou must have always a Silver Ring on the middle finger of the left hand held against thy face, [14] as they do yet before Amaymon . This Great King Beleth causeth all the love that may be, both of Men and of Women, until the Master Exorcist hath had his desire fulfilled. He is of the Order of Powers, and he governeth 85 Legions of Spirits. His Noble Seal is this, which is to be worn before thee at working.
41504803	13	canonical	tier-paraphrase	Beleth Beleth. This Great King Beleth causeth all the love that may be, both of Men and of Women, until the Master Exorcist hath had his desire fulfilled.
c95744c3	14	canonical	tier-paraphrase	Leraje. (14.) Leraje , or Leraikha .—The Fourteenth Spirit is called Leraje (or Leraie). He is a Marquis Great in Power, showing himself in the likeness of an Archer clad in Green, and carrying a Bow and Quiver. He causeth all great Battles and Contests; and maketh wounds to putrefy that are made with Arrows by Archers. This belongeth unto Sagittary. He governeth 30 Legions of Spirits, and this is his Seal, etc.
ca08b019	14	canonical	tier-paraphrase	Leraje Leraje Leraikha. He causeth all great Battles and Contests
c61b76fb	15	canonical	tier-paraphrase	Eligos. (15.) Eligos. —The Fifteenth Spirit in Order is Eligos, a Great Duke, and appeareth in the form of a goodly Knight, carrying a Lance, an Ensign, and a Serpent. He discovereth hidden things, and knoweth things to come; and of Wars, and how the Soldiers will or shall meet. He causeth the Love of Lords and Great Persons. He governeth 60 Legions of Spirits. His Seal is this, etc.
7afad113	15	canonical	tier-paraphrase	Eligos Eligos. He causeth the Love of Lords and Great Persons.
0067ea37	16	canonical	tier-paraphrase	Zepar. (16.) Zepar. —The Sixteenth Spirit is Zepar. He is a Great Duke, and appeareth in Red Apparel and Armour, like a Soldier. His office is to cause Women to love Men, and to bring them together in love. He also maketh them barren. He governeth 26 Legions of Inferior Spirits, and his Seal is this, which he obeyeth when he seeth it.
738819f9	16	canonical	tier-paraphrase	Zepar Zepar. He also maketh them barren.
7ef1eaab	17	canonical	tier-paraphrase	Botis. (17.) Botis. —The Seventeenth Spirit is Botis, a Great President, and an Earl. He appeareth at the first show in the form of an ugly Viper, then at the command of the Magician he putteth on a Human shape with Great Teeth, and two Horns, carrying a bright and sharp Sword in his hand. He telleth all things Past, and to Come, and reconcileth Friends and Foes. He ruleth over 60 Legions of Spirits, and this is his Seal, etc.
ce296b61	17	canonical	tier-paraphrase	Botis Botis. Botis has an office described in the Goetia
8060f807	18	canonical	tier-paraphrase	Bathin. (18.) Bathin. —The Eighteenth Spirit is Bathin. He is a Mighty and Strong Duke, and appeareth like a Strong Man with the tail of a Serpent, sitting upon a Pale-Coloured Horse. He knoweth the Virtues of Herbs and Precious Stones, and can transport men suddenly from one country to another. He ruleth over 30 Legions of Spirits. His Seal is this which is to be worn as aforesaid.
54eada0b	18	canonical	tier-paraphrase	Bathin Bathin. Bathin has an office described in the Goetia
36cbbe1b	19	canonical	tier-paraphrase	Sallos. (19.) Sallos. —The Nineteenth Spirit is Sallos (or Saleos). He is a Great and Mighty Duke, and appeareth in the form of a gallant Soldier riding on a Crocodile, with a Ducal Crown on his head, but peaceably. He causeth the Love of Women to Men, and of Men to Women; and governeth 30 Legions of Spirits. His Seal is this, etc.
c3982fd3	19	canonical	tier-paraphrase	Sallos Sallos. He causeth the Love of Women to Men, and of Men to Women
f49088d9	20	canonical	tier-paraphrase	Purson. (20.) Purson. —The Twentieth Spirit is Purson, a Great King. His appearance is comely, like a Man with a Lion’s face, carrying a cruel Viper in his hand, and riding upon a Bear. Going before him are many Trumpets sounding. He knoweth all things hidden, and can discover Treasure, and tell all things Past, Present, and to Come. He can take a Body either Human or Aërial, and answereth truly of all Earthly things both Secret and Divine, and of the Creation of the World. He bringeth forth good Familiars, and under his Government there be 22 Legions of Spirits, partly of the Order of Virtues and partly of the Order of Thrones. His Mark, Seal, or Character is this, unto the which he oweth obedience, and which thou shalt wear in time of action, etc.
ef0d876b	20	canonical	tier-paraphrase	Purson Purson. He knoweth all things hidden, and can discover Treasure, and tell all things Past, Present, and to Come.
2c8b887b	21	canonical	tier-paraphrase	Marax. (21.) Marax. —The Twenty-first Spirit is Marax. [15] He is a Great Earl and President. He appeareth like a great Bull with a Man’s face. His office is to make Men very knowing in Astronomy, and all other Liberal Sciences; also he can give good Familiars, and wise, knowing the virtues of Herbs and Stones which be precious. He governeth 30 Legions of Spirits, and his Seal is this, which must be made and worn as aforesaid, etc.
b404167b	21	canonical	tier-paraphrase	Marax Marax. His office is to make Men very knowing in Astronomy, and all other Liberal Sciences
4c97fca5	22	canonical	tier-paraphrase	Ipos. (22.) Ipos. —The Twenty-second Spirit is Ipos. He is an Earl, and a Mighty Prince, and appeareth in the form of an Angel with a Lion’s Head, and a Goose’s Foot, and Hare’s Tail. He knoweth all things Past, Present, and to Come. He maketh men witty and bold. He governeth 36 Legions of Spirits. His Seal is this, which thou shalt wear, etc.
4da96663	22	canonical	tier-paraphrase	Ipos Ipos. He maketh men witty and bold.
a28ddfef	23	canonical	tier-paraphrase	Aim. (23.) Aim. —The Twenty-third Spirit is Aim. He is a Great Strong Duke. He appeareth in the form of a very handsome Man in body, but with three Heads; the first, like a Serpent, the second like a Man having two Stars on his Forehead, the third like a Calf. He rideth on a Viper, carrying a Firebrand in his Hand, wherewith he setteth cities, castles, and great Places, on fire. He maketh thee witty in all manner of ways, and giveth true answers unto private matters. He governeth 26 Legions of Inferior Spirits; and his Seal is this, which wear thou as aforesaid, etc.
51b65793	23	canonical	tier-paraphrase	Aim Aim. He maketh thee witty in all manner of ways, and giveth true answers unto private matters.
b4c8ec8b	24	canonical	tier-paraphrase	Naberius. (24.) Naberius. —The Twenty-fourth Spirit is Naberius. He is a most valiant Marquis, and showeth in the form of a Black Crane, fluttering about the Circle, and when he speaketh it is with a hoarse voice. He maketh men cunning in all Arts and Sciences, but especially in the Art of Rhetoric. He restoreth lost Dignities and Honours. He governeth 19 Legions of Spirits. His Seal is this, which is to be worn, etc.
afedc501	24	canonical	tier-paraphrase	Naberius Naberius. He maketh men cunning in all Arts and Sciences, but especially in the Art of Rhetoric.
